Chunk (0, 0, 0) | Triangles: 440
idx | VertA | VertB | VertC | maxEdge
 270 | (2,00,5,43,6,00) | (2,00,5,00,6,27) | (3,00,6,00,6,27) | 1,41
 271 | (3,76,5,00,7,00) | (4,00,6,00,6,48) | (3,00,5,00,6,87) | 1,47
 272 | (4,00,5,09,7,00) | (5,00,5,00,6,87) | (4,00,6,00,6,48) | 1,47
 273 | (5,43,6,00,6,00) | (5,00,6,00,6,27) | (6,00,5,00,6,27) | 1,41
 274 | (4,00,6,48,6,00) | (3,00,6,27,6,00) | (4,00,6,00,6,48) | 1,14
 275 | (5,00,6,27,6,00) | (4,00,6,48,6,00) | (5,00,6,00,6,27) | 1,14
 276 | (1,00,4,24,3,00) | (1,00,4,00,3,00) | (1,00,5,00,4,00) | 1,41
 277 | (7,00,5,00,3,76) | (7,00,5,00,4,00) | (7,00,4,00,3,00) | 1,41
 278 | (1,00,5,00,3,76) | (1,52,6,00,4,00) | (1,13,5,00,3,00) | 1,47
 279 | (7,00,5,09,4,00) | (6,87,5,00,3,00) | (6,48,6,00,4,00) | 1,47
 280 | (1,73,6,00,3,00) | (1,52,6,00,4,00) | (2,00,6,27,3,00) | 1,14
 281 | (2,91,7,00,4,00) | (3,00,6,87,3,00) | (2,00,6,48,4,00) | 1,47
 282 | (5,00,7,00,3,76) | (6,00,6,48,4,00) | (5,00,6,87,3,00) | 1,47
 283 | (6,00,6,27,3,00) | (6,00,6,48,4,00) | (6,27,6,00,3,00) | 1,14
 284 | (3,00,7,00,3,76) | (3,00,7,00,4,00) | (4,00,7,00,3,00) | 1,41
 285 | (4,24,7,00,3,00) | (4,00,7,00,3,00) | (5,00,7,00,4,00) | 1,41
 286 | (1,00,5,00,4,24) | (1,00,5,00,4,00) | (1,00,4,00,5,00) | 1,41
 287 | (7,00,4,24,5,00) | (7,00,4,00,5,00) | (7,00,5,00,4,00) | 1,41
 288 | (1,00,5,09,4,00) | (1,13,5,00,5,00) | (1,52,6,00,4,00) | 1,47
 289 | (7,00,5,00,4,24) | (6,48,6,00,4,00) | (6,87,5,00,5,00) | 1,47
 290 | (1,52,6,00,4,00) | (1,73,6,00,5,00) | (2,00,6,48,4,00) | 1,14
 291 | (3,00,7,00,4,24) | (2,00,6,48,4,00) | (3,00,6,87,5,00) | 1,47
 292 | (5,09,7,00,4,00) | (5,00,6,87,5,00) | (6,00,6,48,4,00) | 1,47
 293 | (6,00,6,48,4,00) | (6,00,6,27,5,00) | (6,48,6,00,4,00) | 1,14
 294 | (3,76,7,00,5,00) | (4,00,7,00,5,00) | (3,00,7,00,4,00) | 1,41
 295 | (5,00,7,00,4,24) | (5,00,7,00,4,00) | (4,00,7,00,5,00) | 1,41
 296 | (1,52,4,00,2,00) | (1,73,5,00,2,00) | (2,00,4,00,1,52) | 1,14
 297 | (3,00,4,24,1,00) | (2,00,4,00,1,52) | (3,00,5,00,1,13) | 1,47
 298 | (5,09,4,00,1,00) | (5,00,5,00,1,13) | (6,00,4,00,1,52) | 1,47
 299 | (6,27,5,00,2,00) | (6,48,4,00,2,00) | (6,00,5,00,1,73) | 1,14
 300 | (2,57,6,00,2,00) | (3,00,6,00,1,73) | (2,00,5,00,1,73) | 1,41
 301 | (4,00,5,09,1,00) | (3,00,5,00,1,13) | (4,00,6,00,1,52) | 1,47
 302 | (4,24,5,00,1,00) | (4,00,6,00,1,52) | (5,00,5,00,1,13) | 1,47
 303 | (6,00,5,43,2,00) | (6,00,5,00,1,73) | (5,00,6,00,1,73) | 1,41
 304 | (3,00,6,27,2,00) | (4,00,6,48,2,00) | (3,00,6,00,1,73) | 1,14
 305 | (4,00,6,48,2,00) | (5,00,6,27,2,00) | (4,00,6,00,1,52) | 1,14
 306 | (2,00,2,00,5,43) | (2,00,1,73,5,00) | (3,00,1,73,6,00) | 1,41
 307 | (3,76,1,00,5,00) | (4,00,1,52,6,00) | (3,00,1,13,5,00) | 1,47
 308 | (4,00,1,00,5,09) | (5,00,1,13,5,00) | (4,00,1,52,6,00) | 1,47
 309 | (5,43,2,00,6,00) | (5,00,1,73,6,00) | (6,00,1,73,5,00) | 1,41
 310 | (2,00,2,57,6,00) | (1,73,3,00,6,00) | (1,73,2,00,5,00) | 1,41
 311 | (6,00,2,00,5,43) | (6,27,2,00,5,00) | (6,27,3,00,6,00) | 1,41
 312 | (1,00,4,00,5,09) | (1,13,3,00,5,00) | (1,52,4,00,6,00) | 1,47
 313 | (7,00,3,76,5,00) | (6,48,4,00,6,00) | (6,87,3,00,5,00) | 1,47
 314 | (1,00,4,00,2,91) | (1,13,5,00,3,00) | (1,52,4,00,2,00) | 1,47
 315 | (7,00,4,24,3,00) | (6,48,4,00,2,00) | (6,87,5,00,3,00) | 1,47
 316 | (2,00,5,43,2,00) | (1,73,5,00,2,00) | (1,73,6,00,3,00) | 1,41
 317 | (6,00,6,00,2,57) | (6,27,6,00,3,00) | (6,27,5,00,2,00) | 1,41
 318 | (2,00,6,00,2,57) | (2,00,6,27,3,00) | (3,00,6,27,2,00) | 1,41
 319 | (3,76,7,00,3,00) | (4,00,6,48,2,00) | (3,00,6,87,3,00) | 1,47
 320 | (4,00,7,00,2,91) | (5,00,6,87,3,00) | (4,00,6,48,2,00) | 1,47
 321 | (5,43,6,00,2,00) | (5,00,6,27,2,00) | (6,00,6,27,3,00) | 1,41
 322 | (3,76,1,00,3,00) | (4,00,1,00,3,00) | (3,00,1,00,4,00) | 1,41
 323 | (5,00,1,00,3,76) | (5,00,1,00,4,00) | (4,00,1,00,3,00) | 1,41
 324 | (1,52,2,00,4,00) | (1,73,2,00,3,00) | (2,00,1,52,4,00) | 1,14
 325 | (3,00,1,00,3,76) | (2,00,1,52,4,00) | (3,00,1,13,3,00) | 1,47
 326 | (5,09,1,00,4,00) | (5,00,1,13,3,00) | (6,00,1,52,4,00) | 1,47
 327 | (6,00,1,52,4,00) | (6,00,1,73,3,00) | (6,48,2,00,4,00) | 1,14
 328 | (1,00,2,91,4,00) | (1,13,3,00,3,00) | (1,52,2,00,4,00) | 1,47
 329 | (7,00,3,00,3,76) | (6,48,2,00,4,00) | (6,87,3,00,3,00) | 1,47
 330 | (1,00,3,00,3,76) | (1,00,3,00,4,00) | (1,00,4,00,3,00) | 1,41
 331 | (7,00,3,76,3,00) | (7,00,4,00,3,00) | (7,00,3,00,4,00) | 1,41
 332 | (3,00,2,00,1,73) | (4,00,2,00,1,52) | (3,00,1,73,2,00) | 1,14
 333 | (4,00,2,00,1,52) | (5,00,2,00,1,73) | (4,00,1,52,2,00) | 1,14
 334 | (2,00,2,57,2,00) | (2,00,3,00,1,73) | (3,00,2,00,1,73) | 1,41
 335 | (3,76,3,00,1,00) | (4,00,2,00,1,52) | (3,00,3,00,1,13) | 1,47
 336 | (4,00,2,91,1,00) | (5,00,3,00,1,13) | (4,00,2,00,1,52) | 1,47
 337 | (5,43,2,00,2,00) | (5,00,2,00,1,73) | (6,00,3,00,1,73) | 1,41
 338 | (1,73,3,00,2,00) | (1,52,4,00,2,00) | (2,00,3,00,1,73) | 1,14
 339 | (2,91,4,00,1,00) | (3,00,3,00,1,13) | (2,00,4,00,1,52) | 1,47
 340 | (5,00,3,76,1,00) | (6,00,4,00,1,52) | (5,00,3,00,1,13) | 1,47
 341 | (6,48,4,00,2,00) | (6,27,3,00,2,00) | (6,00,4,00,1,52) | 1,14
 342 | (3,00,1,00,4,24) | (3,00,1,00,4,00) | (4,00,1,00,5,00) | 1,41
 343 | (4,24,1,00,5,00) | (4,00,1,00,5,00) | (5,00,1,00,4,00) | 1,41
 344 | (1,73,2,00,5,00) | (1,52,2,00,4,00) | (2,00,1,73,5,00) | 1,14
 345 | (2,91,1,00,4,00) | (3,00,1,13,5,00) | (2,00,1,52,4,00) | 1,47
 346 | (5,00,1,00,4,24) | (6,00,1,52,4,00) | (5,00,1,13,5,00) | 1,47
 347 | (6,00,1,73,5,00) | (6,00,1,52,4,00) | (6,27,2,00,5,00) | 1,14
 348 | (1,00,3,00,4,24) | (1,52,2,00,4,00) | (1,13,3,00,5,00) | 1,47
 349 | (7,00,2,91,4,00) | (6,87,3,00,5,00) | (6,48,2,00,4,00) | 1,47
 350 | (1,00,3,76,5,00) | (1,00,4,00,5,00) | (1,00,3,00,4,00) | 1,41
 351 | (7,00,3,00,4,24) | (7,00,3,00,4,00) | (7,00,4,00,5,00) | 1,41
 352 | (3,00,2,00,6,27) | (3,00,3,00,6,87) | (2,00,3,00,6,27) | 1,41
 353 | (4,00,2,00,6,48) | (3,00,3,00,6,87) | (3,00,2,00,6,27) | 1,47
 354 | (5,00,3,00,6,87) | (4,00,2,00,6,48) | (5,00,2,00,6,27) | 1,47
 355 | (6,00,3,00,6,27) | (5,00,3,00,6,87) | (5,00,2,00,6,27) | 1,41
 356 | (3,00,3,00,6,87) | (2,00,4,00,6,48) | (2,00,3,00,6,27) | 1,47
 357 | (6,00,4,00,6,48) | (5,00,3,00,6,87) | (6,00,3,00,6,27) | 1,47
 358 | (1,13,5,00,5,00) | (1,52,4,00,6,00) | (1,73,5,00,6,00) | 1,47
 359 | (6,48,4,00,6,00) | (6,87,5,00,5,00) | (6,27,5,00,6,00) | 1,47
 360 | (1,73,6,00,5,00) | (1,13,5,00,5,00) | (1,73,5,00,6,00) | 1,41
 361 | (6,27,5,00,6,00) | (6,87,5,00,5,00) | (6,27,6,00,5,00) | 1,41
 362 | (3,00,6,27,6,00) | (3,00,6,87,5,00) | (2,00,6,27,5,00) | 1,41
 363 | (4,00,6,48,6,00) | (3,00,6,87,5,00) | (3,00,6,27,6,00) | 1,47
 364 | (5,00,6,87,5,00) | (4,00,6,48,6,00) | (5,00,6,27,6,00) | 1,47
 365 | (6,00,6,27,5,00) | (5,00,6,87,5,00) | (5,00,6,27,6,00) | 1,41
 366 | (2,00,4,00,6,48) | (3,00,5,00,6,87) | (2,00,5,00,6,27) | 1,47
 367 | (5,00,5,00,6,87) | (6,00,4,00,6,48) | (6,00,5,00,6,27) | 1,47
 368 | (2,00,5,00,6,27) | (3,00,5,00,6,87) | (3,00,6,00,6,27) | 1,41
 369 | (3,00,5,00,6,87) | (4,00,6,00,6,48) | (3,00,6,00,6,27) | 1,47
 370 | (4,00,6,00,6,48) | (5,00,5,00,6,87) | (5,00,6,00,6,27) | 1,47
 371 | (5,00,6,00,6,27) | (5,00,5,00,6,87) | (6,00,5,00,6,27) | 1,41
 372 | (3,00,5,00,1,13) | (2,00,4,00,1,52) | (2,00,5,00,1,73) | 1,47
 373 | (6,00,4,00,1,52) | (5,00,5,00,1,13) | (6,00,5,00,1,73) | 1,47
 374 | (3,00,6,00,1,73) | (3,00,5,00,1,13) | (2,00,5,00,1,73) | 1,41
 375 | (4,00,6,00,1,52) | (3,00,5,00,1,13) | (3,00,6,00,1,73) | 1,47
 376 | (5,00,5,00,1,13) | (4,00,6,00,1,52) | (5,00,6,00,1,73) | 1,47
 377 | (6,00,5,00,1,73) | (5,00,5,00,1,13) | (5,00,6,00,1,73) | 1,41
 378 | (3,00,1,73,2,00) | (3,00,1,13,3,00) | (2,00,1,73,3,00) | 1,41
 379 | (4,00,1,52,2,00) | (3,00,1,13,3,00) | (3,00,1,73,2,00) | 1,47
 380 | (5,00,1,13,3,00) | (4,00,1,52,2,00) | (5,00,1,73,2,00) | 1,47
 381 | (6,00,1,73,3,00) | (5,00,1,13,3,00) | (5,00,1,73,2,00) | 1,41
 382 | (1,73,2,00,3,00) | (1,13,3,00,3,00) | (1,73,3,00,2,00) | 1,41
 383 | (6,27,3,00,2,00) | (6,87,3,00,3,00) | (6,27,2,00,3,00) | 1,41
 384 | (1,13,3,00,3,00) | (1,52,4,00,2,00) | (1,73,3,00,2,00) | 1,47
 385 | (6,48,4,00,2,00) | (6,87,3,00,3,00) | (6,27,3,00,2,00) | 1,47
 386 | (1,52,4,00,2,00) | (1,13,5,00,3,00) | (1,73,5,00,2,00) | 1,47
 387 | (6,87,5,00,3,00) | (6,48,4,00,2,00) | (6,27,5,00,2,00) | 1,47
 388 | (1,73,5,00,2,00) | (1,13,5,00,3,00) | (1,73,6,00,3,00) | 1,41
 389 | (6,27,6,00,3,00) | (6,87,5,00,3,00) | (6,27,5,00,2,00) | 1,41
 390 | (2,00,6,27,3,00) | (3,00,6,87,3,00) | (3,00,6,27,2,00) | 1,41
 391 | (3,00,6,87,3,00) | (4,00,6,48,2,00) | (3,00,6,27,2,00) | 1,47
 392 | (4,00,6,48,2,00) | (5,00,6,87,3,00) | (5,00,6,27,2,00) | 1,47
 393 | (5,00,6,27,2,00) | (5,00,6,87,3,00) | (6,00,6,27,3,00) | 1,41
 394 | (2,00,3,00,1,73) | (3,00,3,00,1,13) | (3,00,2,00,1,73) | 1,41
 395 | (3,00,3,00,1,13) | (4,00,2,00,1,52) | (3,00,2,00,1,73) | 1,47
 396 | (4,00,2,00,1,52) | (5,00,3,00,1,13) | (5,00,2,00,1,73) | 1,47
 397 | (5,00,2,00,1,73) | (5,00,3,00,1,13) | (6,00,3,00,1,73) | 1,41
 398 | (2,00,4,00,1,52) | (3,00,3,00,1,13) | (2,00,3,00,1,73) | 1,47
 399 | (5,00,3,00,1,13) | (6,00,4,00,1,52) | (6,00,3,00,1,73) | 1,47
 400 | (1,00,4,00,3,00) | (1,00,4,00,4,00) | (1,00,5,00,4,00) | 1,41
 401 | (7,00,5,00,4,00) | (7,00,4,00,4,00) | (7,00,4,00,3,00) | 1,41
 402 | (1,13,5,00,3,00) | (1,52,6,00,4,00) | (1,73,6,00,3,00) | 1,47
 403 | (6,48,6,00,4,00) | (6,87,5,00,3,00) | (6,27,6,00,3,00) | 1,47
 404 | (2,00,6,48,4,00) | (3,00,6,87,3,00) | (2,00,6,27,3,00) | 1,47
 405 | (5,00,6,87,3,00) | (6,00,6,48,4,00) | (6,00,6,27,3,00) | 1,47
 406 | (3,00,7,00,4,00) | (4,00,7,00,4,00) | (4,00,7,00,3,00) | 1,41
 407 | (4,00,7,00,3,00) | (4,00,7,00,4,00) | (5,00,7,00,4,00) | 1,41
 408 | (1,00,5,00,4,00) | (1,00,4,00,4,00) | (1,00,4,00,5,00) | 1,41
 409 | (7,00,4,00,5,00) | (7,00,4,00,4,00) | (7,00,5,00,4,00) | 1,41
 410 | (1,52,6,00,4,00) | (1,13,5,00,5,00) | (1,73,6,00,5,00) | 1,47
 411 | (6,87,5,00,5,00) | (6,48,6,00,4,00) | (6,27,6,00,5,00) | 1,47
 412 | (3,00,6,87,5,00) | (2,00,6,48,4,00) | (2,00,6,27,5,00) | 1,47
 413 | (6,00,6,48,4,00) | (5,00,6,87,5,00) | (6,00,6,27,5,00) | 1,47
 414 | (4,00,7,00,5,00) | (4,00,7,00,4,00) | (3,00,7,00,4,00) | 1,41
 415 | (5,00,7,00,4,00) | (4,00,7,00,4,00) | (4,00,7,00,5,00) | 1,41
 416 | (3,00,1,00,4,00) | (4,00,1,00,4,00) | (4,00,1,00,5,00) | 1,41
 417 | (4,00,1,00,5,00) | (4,00,1,00,4,00) | (5,00,1,00,4,00) | 1,41
 418 | (2,00,1,52,4,00) | (3,00,1,13,5,00) | (2,00,1,73,5,00) | 1,47
 419 | (5,00,1,13,5,00) | (6,00,1,52,4,00) | (6,00,1,73,5,00) | 1,47
 420 | (1,13,3,00,5,00) | (1,52,2,00,4,00) | (1,73,2,00,5,00) | 1,47
 421 | (6,48,2,00,4,00) | (6,87,3,00,5,00) | (6,27,2,00,5,00) | 1,47
 422 | (1,00,4,00,5,00) | (1,00,4,00,4,00) | (1,00,3,00,4,00) | 1,41
 423 | (7,00,3,00,4,00) | (7,00,4,00,4,00) | (7,00,4,00,5,00) | 1,41
 424 | (2,00,1,73,5,00) | (3,00,1,13,5,00) | (3,00,1,73,6,00) | 1,41
 425 | (3,00,1,13,5,00) | (4,00,1,52,6,00) | (3,00,1,73,6,00) | 1,47
 426 | (4,00,1,52,6,00) | (5,00,1,13,5,00) | (5,00,1,73,6,00) | 1,47
 427 | (5,00,1,73,6,00) | (5,00,1,13,5,00) | (6,00,1,73,5,00) | 1,41
 428 | (1,73,3,00,6,00) | (1,13,3,00,5,00) | (1,73,2,00,5,00) | 1,41
 429 | (6,27,2,00,5,00) | (6,87,3,00,5,00) | (6,27,3,00,6,00) | 1,41
 430 | (1,52,4,00,6,00) | (1,13,3,00,5,00) | (1,73,3,00,6,00) | 1,47
 431 | (6,87,3,00,5,00) | (6,48,4,00,6,00) | (6,27,3,00,6,00) | 1,47
 432 | (4,00,1,00,3,00) | (4,00,1,00,4,00) | (3,00,1,00,4,00) | 1,41
 433 | (5,00,1,00,4,00) | (4,00,1,00,4,00) | (4,00,1,00,3,00) | 1,41
 434 | (3,00,1,13,3,00) | (2,00,1,52,4,00) | (2,00,1,73,3,00) | 1,47
 435 | (6,00,1,52,4,00) | (5,00,1,13,3,00) | (6,00,1,73,3,00) | 1,47
 436 | (1,52,2,00,4,00) | (1,13,3,00,3,00) | (1,73,2,00,3,00) | 1,47
 437 | (6,87,3,00,3,00) | (6,48,2,00,4,00) | (6,27,2,00,3,00) | 1,47
 438 | (1,00,3,00,4,00) | (1,00,4,00,4,00) | (1,00,4,00,3,00) | 1,41
 439 | (7,00,4,00,3,00) | (7,00,4,00,4,00) | (7,00,3,00,4,00) | 1,41
