Chunk (0, 0, 0) | Triangles: 440
idx | VertA | VertB | VertC | maxEdge
  61 | (1,00,4,24,5,00) | (1,00,4,00,5,09) | (1,52,4,00,6,00) | 1,15
  62 | (7,00,4,00,5,09) | (7,00,4,24,5,00) | (6,87,5,00,5,00) | 1,01
  63 | (7,00,4,00,5,00) | (7,00,4,24,5,00) | (7,00,4,00,5,09) | 0,26
  64 | (2,00,6,00,5,43) | (1,73,5,00,6,00) | (2,00,5,43,6,00) | 1,18
  65 | (2,00,6,00,5,43) | (2,00,5,43,6,00) | (2,57,6,00,6,00) | 0,80
  66 | (6,00,5,43,6,00) | (6,00,6,00,5,43) | (5,43,6,00,6,00) | 0,80
  67 | (6,00,5,43,6,00) | (6,27,6,00,5,00) | (6,00,6,00,5,43) | 1,18
  68 | (1,73,6,00,5,00) | (2,00,6,00,5,43) | (2,00,6,27,5,00) | 0,51
  69 | (2,57,6,00,6,00) | (2,00,6,27,5,00) | (2,00,6,00,5,43) | 1,18
  70 | (4,00,7,00,5,09) | (3,76,7,00,5,00) | (3,00,6,87,5,00) | 1,01
  71 | (4,24,7,00,5,00) | (4,00,7,00,5,09) | (4,00,6,48,6,00) | 1,15
  72 | (6,00,6,00,5,43) | (5,00,6,27,6,00) | (5,43,6,00,6,00) | 1,18
  73 | (6,27,6,00,5,00) | (6,00,6,27,5,00) | (6,00,6,00,5,43) | 0,51
  74 | (3,76,7,00,5,00) | (4,00,7,00,5,09) | (4,00,7,00,5,00) | 0,26
  75 | (4,24,7,00,5,00) | (4,00,7,00,5,00) | (4,00,7,00,5,09) | 0,26
  76 | (3,76,5,00,1,00) | (4,00,5,00,1,00) | (3,00,4,00,1,00) | 1,41
  77 | (5,00,4,24,1,00) | (5,00,4,00,1,00) | (4,00,5,00,1,00) | 1,41
  78 | (2,00,4,00,1,52) | (1,73,5,00,2,00) | (2,00,5,00,1,73) | 1,14
  79 | (3,00,4,24,1,00) | (2,91,4,00,1,00) | (2,00,4,00,1,52) | 1,15
  80 | (3,76,5,00,1,00) | (3,00,4,24,1,00) | (3,00,5,00,1,13) | 1,07
  81 | (5,00,4,24,1,00) | (4,24,5,00,1,00) | (5,00,5,00,1,13) | 1,07
  82 | (5,09,4,00,1,00) | (5,00,4,24,1,00) | (5,00,5,00,1,13) | 1,01
  83 | (6,00,5,00,1,73) | (6,48,4,00,2,00) | (6,00,4,00,1,52) | 1,14
  84 | (2,00,5,00,1,73) | (1,73,5,00,2,00) | (2,00,5,43,2,00) | 0,51
  85 | (2,57,6,00,2,00) | (2,00,5,00,1,73) | (2,00,5,43,2,00) | 1,18
  86 | (4,00,5,09,1,00) | (3,76,5,00,1,00) | (3,00,5,00,1,13) | 1,01
  87 | (4,24,5,00,1,00) | (4,00,5,09,1,00) | (4,00,6,00,1,52) | 1,15
  88 | (6,00,5,43,2,00) | (5,00,6,00,1,73) | (5,43,6,00,2,00) | 1,18
  89 | (6,00,5,00,1,73) | (6,00,5,43,2,00) | (6,27,5,00,2,00) | 0,51
  90 | (3,00,6,00,1,73) | (2,57,6,00,2,00) | (3,00,6,27,2,00) | 0,51
  91 | (3,00,6,00,1,73) | (4,00,6,48,2,00) | (4,00,6,00,1,52) | 1,14
  92 | (4,00,6,00,1,52) | (5,00,6,27,2,00) | (5,00,6,00,1,73) | 1,14
  93 | (5,00,6,00,1,73) | (5,00,6,27,2,00) | (5,43,6,00,2,00) | 0,51
  94 | (3,00,4,24,7,00) | (3,00,4,00,7,00) | (4,00,5,00,7,00) | 1,41
  95 | (4,24,5,00,7,00) | (4,00,5,00,7,00) | (5,00,4,00,7,00) | 1,41
  96 | (1,00,4,24,3,00) | (1,00,5,00,4,00) | (1,00,5,00,3,76) | 1,25
  97 | (1,13,5,00,3,00) | (1,00,4,24,3,00) | (1,00,5,00,3,76) | 1,07
  98 | (7,00,4,24,3,00) | (6,87,5,00,3,00) | (7,00,5,00,3,76) | 1,07
  99 | (7,00,5,00,3,76) | (7,00,4,00,3,00) | (7,00,4,24,3,00) | 1,25
 100 | (1,00,5,00,3,76) | (1,00,5,00,4,00) | (1,00,5,09,4,00) | 0,26
 101 | (1,00,5,00,3,76) | (1,00,5,09,4,00) | (1,52,6,00,4,00) | 1,15
 102 | (7,00,5,09,4,00) | (7,00,5,00,3,76) | (6,87,5,00,3,00) | 1,01
 103 | (7,00,5,00,3,76) | (7,00,5,09,4,00) | (7,00,5,00,4,00) | 0,26
 104 | (2,00,6,27,3,00) | (1,52,6,00,4,00) | (2,00,6,48,4,00) | 1,14
 105 | (2,91,7,00,4,00) | (3,00,7,00,3,76) | (3,00,6,87,3,00) | 1,01
 106 | (3,76,7,00,3,00) | (3,00,6,87,3,00) | (3,00,7,00,3,76) | 1,07
 107 | (5,00,6,87,3,00) | (4,24,7,00,3,00) | (5,00,7,00,3,76) | 1,07
 108 | (5,00,7,00,3,76) | (5,09,7,00,4,00) | (6,00,6,48,4,00) | 1,15
 109 | (6,27,6,00,3,00) | (6,00,6,48,4,00) | (6,48,6,00,4,00) | 1,14
 110 | (3,00,7,00,3,76) | (2,91,7,00,4,00) | (3,00,7,00,4,00) | 0,26
 111 | (3,00,7,00,3,76) | (4,00,7,00,3,00) | (3,76,7,00,3,00) | 1,25
 112 | (4,24,7,00,3,00) | (5,00,7,00,4,00) | (5,00,7,00,3,76) | 1,25
 113 | (5,00,7,00,3,76) | (5,00,7,00,4,00) | (5,09,7,00,4,00) | 0,26
 114 | (1,00,5,00,4,24) | (1,00,4,00,5,00) | (1,00,4,24,5,00) | 1,25
 115 | (1,00,5,00,4,24) | (1,00,4,24,5,00) | (1,13,5,00,5,00) | 1,07
 116 | (7,00,4,24,5,00) | (7,00,5,00,4,24) | (6,87,5,00,5,00) | 1,07
 117 | (7,00,4,24,5,00) | (7,00,5,00,4,00) | (7,00,5,00,4,24) | 1,25
 118 | (1,00,5,00,4,00) | (1,00,5,00,4,24) | (1,00,5,09,4,00) | 0,26
 119 | (1,00,5,09,4,00) | (1,00,5,00,4,24) | (1,13,5,00,5,00) | 1,01
 120 | (7,00,5,00,4,24) | (7,00,5,09,4,00) | (6,48,6,00,4,00) | 1,15
 121 | (7,00,5,00,4,00) | (7,00,5,09,4,00) | (7,00,5,00,4,24) | 0,26
 122 | (2,00,6,48,4,00) | (1,73,6,00,5,00) | (2,00,6,27,5,00) | 1,14
 123 | (3,00,7,00,4,24) | (2,91,7,00,4,00) | (2,00,6,48,4,00) | 1,15
 124 | (3,00,7,00,4,24) | (3,00,6,87,5,00) | (3,76,7,00,5,00) | 1,07
 125 | (5,00,6,87,5,00) | (5,00,7,00,4,24) | (4,24,7,00,5,00) | 1,07
